Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Štikozubec argentinský (mořská štika, hejk), maso s kůží;;318;75;15.9;2.54;1.3;0;0;0;81.8;;1.3;;;;;;;;;;;;;;;;;;187;;;;;;;;;;0.47;;0;0;0;0;0;0;;;;;0.19;0;0;0;0;0;0;0.02;0;0.14;0;0.03;0;0;0.46;0;0.04;0;0.40;0.03;0;0.19;0.12;0.12;0;0;0.07;0.03;0.02;;0.03;0;0;0;;;;;;;;;;;;;;;;;;;;
Paprika zeleninová, červená;;124;29;1.3;0.2;0.4;6.0;4.3;1.7;91.6;0;0.6;;0.05;0.09;;;;;;;191.0;264;0;3165;;2.9;2.9;;5;13;31;147;6;0.5;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.14;0.14;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Tuk (olej) palmojádrový;;3700;900;0;0;99.9;0;0;0;0;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;44.07;0;0;0.11;0.11;0.97;0;0.93;0;36.58;0.10;4.74;0.39;0.07;43.02;0;0.11;0;42.69;0.19;0;8.13;7.93;7.97;0;0;0.19;0.18;0;;0;0.29;0.07;0.23;;;;;;;;;;;;;;;;;;;;
Koření, koriandr, celý;;1395;340;14.2;2.27;19.6;50.59;2.59;48.0;10.0;;6.1;;;;;;;;;;;;;;;;;;21;;;;;;;;;;0.05;;0.50;0.28;0.02;0;0;0.20;;;;;0.70;0;0;0;0;0;0;0;0;0.58;0;0.13;0;0;13.27;0;0;0;13.27;0;0;2.64;2.64;2.64;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Ořechy pekan;;2933;712;12.1;1.9;69.6;13.7;4.5;9.2;3.0;;1.6;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;4.2;0.1;0.2;0;0;4.0;;;;;6.54;0;0;0;0;0;0;0;0;4.70;0;1.75;0.08;0;32.50;0;0;0;32.33;0.17;0;26.75;25.83;25.83;0;0;0.92;0.92;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Řepa červená;;166;39;1.3;0.2;0.2;8.9;7.2;1.7;88.8;0;0.8;;0.03;0.04;;;;;;;10;5;0;60;;0.04;0.04;;45;15;39;273;35;0.7;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;0.07;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Rajčata cherry;;108;26;1.4;0.2;0.6;5.0;2.7;2.3;92.3;;0.7;;;;;;;;;;;;;;;;;;3;;;;;;;;;;0.01;;1.9;0.8;0.5;0;0;0.6;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Lečo zeleninové, sterilované;;138;33;1.1;0.2;0.6;6.2;5.3;0.9;91.2;0;0.9;;0.04;0.05;;;;;;;44.5;12;0;144;;;;;222;13;24;235;18;1.0;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06;0.06;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Řasa mořská Arame;;789;194;9.0;1.44;2.1;69.4;0.5;68.9;9.1;;10.4;;;;;;;;;;;;;;;;;;1030;;;;;;;;;;2.58;;0;0;0;0;0;0;;;;;1.02;0;0;0;0;0;0;0;0;0.80;0;0.21;0;0;0.57;0;0;0;0.57;0;0;0.08;0.08;0.08;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso kachní, kachna mladá, celá, s kůží, bez drobů;;1220;291;15.1;2.4;26.0;0;0;0;58.3;;0.7;;;;;;;;;;;;;;;;;;73;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;7.65;0;0;0;0;0;0;0.16;0;5.87;0;1.57;0;0;13.42;0;0.92;0;12.41;0.12;0;3.31;3.12;2.95;0;0.06;0.19;0.22;0;;0;0;0.08;0;;;;;;;;;;;;;;;;;;;;
Fíky;;323;77;0.8;0.1;0.3;19.1;16.2;2.9;79.1;0;0.7;;0.06;0.05;;;;;;;2.0;7;0;85;;0.11;0.11;;1;17;14;232;35;0.4;;;;;1;;9.6;4.1;5.2;;0;0.3;;;;;0.06;;;;;;;0;;0.05;;0.01;;;0.07;;0;;0.07;;;0.14;0.14;0.14;;0;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;
Maso koňské, roštěnec;;370;87;19.8;3.17;0.9;0;0;0;75.5;;1.2;;;;;;;;;;;;;;;;;;38;;;;;;;;;;0.09;;0;0;0;0;0;0;;;;;0.34;0;0;0;0;0.01;0;0.05;0;0.25;0;0.04;0;0;0.24;0;0.05;0;0.19;0;0;0.19;0.09;0.09;0;0.01;0.10;0.10;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
