Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Mouka rýžová celozrnná;;1622;383;9.3;1.48;2.5;82.5;79.0;3.5;4.3;;1.4;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0.01;;0.8;0.2;0;0;0;0.6;;;;;0.45;0;0;0;0;0;0;0.01;0;0.39;0;0.04;0.01;0;0.89;0;0;0;0.87;0.01;0;0.83;0.79;0.79;0;0;0.03;0.03;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso husí, s kůží;;1169;282;13.9;2.22;25.2;0;0;0;59.5;0;0.7;;0.10;0.27;;;;;;;0;30;30;0;;0;0;;69;20;201;342;11;2.4;;;;;0.17;;0;0;0;0;0;0;;;;;7.22;0;0;0;0;0;0;0.09;0;5.67;0;1.46;0;0;12.98;0;0.69;0;12.29;0;0;3.48;3.36;3.36;0;0;0.13;0.13;0;;0;0;0;0;80;;;;;;;;;;;;;;;;;;;
Pohanka - tatarka;;1400;332;10.5;1.7;3.1;76.9;54.4;22.4;6.4;0;3.2;;0.25;0.09;;2.7;;0.96;0.32;;;;;;;1.70;1.70;;2;158;351;510;86;3.8;0.48;3.00;;;0;;;;;;;;;;;;0.49;;;;;;;0.01;;0.40;;0.05;0.02;0.02;0.85;;0.01;;0.80;0.03;0.01;0.89;0.86;0.86;;;0.03;0.03;;;;;;;;;553;413;482;710;417;449;365;543;952;1513;1056;245;190;581;460;;250;436
Cibule červená;;191;45;1.4;0.2;0.2;10.4;8.6;1.9;87.6;;0.4;;;;;;;;;;;;;;;;;;7;;;;;;;;;;0.02;;6.9;2.3;2.0;0;0;2.6;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Okoun nilský, maso bez kůže;;325;77;17.4;2.79;0.8;0;0;0;78.4;;1.0;;;;;;;;;;;;;;;;;;50;;;;;;;;;;0.12;;0;0;0;0;0;0;;;;;0.28;0;0;0;0;0;0;0.03;0;0.20;0;0.05;0;0;0.13;0;0.05;0;0.08;0;0;0.06;0.01;0.01;0;0;0.05;0.01;0;;0.03;0;0;0;;;;;;;;;;;;;;;;;;;;
Cibule;;164;39;1.4;0.2;0.3;8.7;6.6;2.1;89.1;0;0.5;;0.03;0.03;;;;;;;8.2;1;0;12;;0.07;0.07;;8;10;27;146;31;0.5;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Čokoláda mléčná;;2210;529;7.7;1.2;29.7;59.4;56.0;3.4;1.5;0;1.78;;0.11;0.30;;;;;;;0;59;59;0;;0.51;0.51;;79;63;208;372;189;2.4;;;;;0.2;;52.8;;;7.4;;45.4;;;;;18.5;0.34;0.10;0.11;0.25;0.25;;1.18;;8.33;;7.84;0.07;0.01;6.49;0;0.41;;6.08;0;;1.34;;1.22;;0;;0.12;0;0;0;0.20;;;23;;;;;;;;;;;;;;;;;;;
Prášek pudinkový, vanilkový;;1480;353;0.4;0.1;0.1;86.5;86.3;0.2;12.7;0;0.3;;0;0.01;;;;;;;0;0;0;0;;0;0;;8;23;60;59;26;2.8;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Mandle loupané;;2544;615;24.6;3.94;53.5;13.9;4.0;9.9;4.9;;3.1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0.01;;3.8;0;0;0;0;3.8;;;;;4.08;0;0;0;0;0;0;0;0;3.41;0;0.67;0;0;33.54;0;0.20;0;33.34;0;0;13.53;13.56;13.53;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso kuřecí, zlaté kuře s výkrmem min. 50 dní, celé, bez drobů;;919;220;18.3;2.9;16.4;0;0;0;64.5;;0.8;;;;;;;;;;;;;;;;;;70;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;4.91;0;0;0;0;0;0;0.07;0;3.70;0;1.06;0;0;7.56;0;0.70;0;6.76;0.07;0;3.02;2.84;2.74;0;0;0.19;0.21;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso jehněčí, hřbet;;456;108;20.1;3.22;3.1;0;0;0;74.9;;1.1;;;;;;;;;;;;;;;;;;77;;;;;;;;;;0.19;;0;0;0;0;0;0;;;;;1.49;0;0;0;0.01;0.01;0;0.12;0;0.59;0;0.77;0;0;0.95;0;0.03;0;0.91;0;0;0.11;0.06;0.06;0;0;0.05;0.05;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Kukuřice cukrová, zmrazená;;474;112;3.3;0.5;1.4;22.7;20.5;2.2;72.0;0;0.6;;0.08;0.07;;;;;;;6.4;5;0;54;;0.5;0.5;;3;18;62;210;5;0.4;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.66;0.66;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Koření, pepř, bílý;;1350;320;11.3;1.80;1.5;72.86;57.80;15.05;12.3;;2.1;;;;;;;;;;;;;;;;;;180;;;;;;;;;;0.45;;0.33;0.16;0.17;0;0;0;;;;;0.39;0;0;0;0;0;0;0;0;0.39;0;0;0;0;0.63;0;0;0;0.63;0;0;0.41;0.41;0.41;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Játra kuřecí, Zlaté kuře;;437;104;19.4;3.1;2.9;0;0;0;74.3;;1.4;;;;;;;;;;;;;;;;;;79;;;;;;;;;;0.20;;0;0;0;0;0;0;;;;;1.04;0;0;0;0;0;0;0;0;0.55;0;0.49;0;0;0.57;0;0.05;0;0.52;0;0;0.52;0.53;0.36;0;0.16;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso vepřové, strojně oddělené, nízkotlaké;;1088;263;15.0;2.4;22.5;0;0;0;60.6;;1.3;;;;;;;;;;;;;;;;;;97;;;;;;;;;;0.24;;0;0;0;0;0;0;;;;;3.99;0;0;0;0.01;0.05;0;0.34;0;0.44;0;3.11;0.04;0;8.42;0;0;0;8.22;0.20;0;2.70;2.54;2.48;0;0.06;0.16;0.16;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso skopové, kýta;;641;153;18.1;2.89;9.0;0;0;0;70.7;;1.0;;;;;;;;;;;;;;;;;;61;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;3.62;0;0;0;0;0;0;0.16;0;1.68;0;1.78;0;0;3.65;0;0.11;0;3.54;0;0;0.28;0.17;0.17;0;0;0.11;0.12;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Vejce slepičí;;575;138;12.5;2.0;9.2;1.3;1.3;0;76.1;0;0.9;;0.08;0.42;;;;;;;0;160;160;0;;1.05;1.05;;119;23;220;132;54;1.7;;;;;0.30;;0.3;0;0.3;0;0;0;;;;;2.53;0;0;0;0;0;0;0.03;0;1.91;0;0.59;0;0;4.07;0;0.32;0;3.73;0.02;0;1.04;1.01;0.93;0;0.09;0.03;0.03;0;;0;0;0;0;372;;;;;;;;;;;;;;;;;;;
Maso kuřecí, kuře celé, s kůží, bez drobů;;935;225;16.7;2.7;17.6;0;0;0;65.2;;0.9;;;;;;;;;;;;;;;;;;73;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;5.20;0;0;0;0;0;0;0.13;0;3.98;0;1.05;0;0;8.98;0;1.09;0;7.81;0.07;0;2.36;2.17;2.08;0;0;0.19;0.20;0;;0;0;0.06;0;;;;;;;;;;;;;;;;;;;;
Kůra citronová, sušená, mletá;;1043;252;6.4;1.02;1.9;79.61;25.11;54.50;6.9;;5.2;;;;;;;;;;;;;;;;;;45;;;;;;;;;;0.11;;12.36;4.22;6.37;0;0;1.77;;;;;0.68;0;0;0;0;0;0;0.09;0;0.48;0;0.11;0;0;0.46;0;0;0;0.46;0;0;0.57;0.41;0.41;0;0;0.17;0.17;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Salát fazolový, trh;;1070;257;5.7;0.9;19.4;14.8;;;58.8;0;1.3;;0.08;0.06;;0.3;;;0.06;;0;2;0;20;;4.86;4.86;;220;19;80;155;44;1.2;0.07;0.56;;6.0;0.6;;;;;;;;;;;;1.80;0;0;0;0;0;;0.03;;1.14;;0.45;0.11;0.07;11.17;0.01;0.08;;10.75;0.27;0.06;5.37;3.64;3.64;;;1.73;1.73;;;;;;;;;;;;;;;;;;;;;;;;;;
Banány;;415;98;1.1;0.2;0.3;23.9;21.6;2.3;73.9;0;0.8;;0.04;0.08;;;;;;;14.3;4;0;48;;0.55;0.55;;1;34;128;388;8;0.7;;;;;0;;19.0;4.3;4.1;;;10.6;;;;;0.05;;;;;0;;0;;0.05;;0;0;0;0.01;;0;;0.01;0;;0.06;0.03;0.03;;0;0.02;0.02;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;
Sójový bílkovinný hydrolyzát;;628;148;22.9;3.7;2.0;10.0;9.1;0.9;3.2;;61.8;;;;;;;;;;;;;;;;;;23740;;;;;;;;;;59.35;;0;0;0;0;0;0;;;;;1.18;0;0;0;0;0.01;0;0.02;0;1.02;0;0.11;0.01;0;0.66;0;0;0;0.66;0;0;0.08;0.08;0.08;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso kuřecí, spodní stehno s kostí a kůží;;529;126;17.8;2.9;6.1;0;0;0;75.2;;0.9;;;;;;;;;;;;;;;;;;106;;;;;;;;;;0.27;;0;0;0;0;0;0;;;;;1.70;0;0;0;0;0;0;0;0;4.53;0;0.29;0;0;2.93;0;0.41;0;8.91;0;0;1.13;1.04;0.99;0;0;0;0.09;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Olivy zralé (černé), konzervované;;488;118;0.8;0.1;10.7;6.3;3.1;3.2;80.0;0;2.2;;0;0;;;;;;;0.9;20;0;237;;1.65;1.65;;735;4;3;8;88;3.3;;;;;1.8;;0;;;;;;;;;;1.42;;;;;;;;;1.18;;0.24;;;7.89;;0.09;;7.77;0.03;;0.91;0.85;0.85;;0;0.03;0.06;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;
Semena slunečnicová;;2370;572;19.0;3.0;45.0;25.7;19.7;6.0;6.8;0;3.5;;2.30;0.25;;;;;;;1.4;3;0;30;;49.5;49.5;;88;367;709;603;135;12.3;;;;;0.2;;1.7;;;;;1.7;;;;;5.54;;;;;;;;;3.12;;1.83;0.26;0.27;10.26;;0.11;;9.85;0.30;;27.37;27.15;27.15;;;0.22;0.22;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso hovězí, kýta;;427;101;22.3;3.6;1.3;0;0;0;75.3;0;1.1;;0.04;0.16;;5.7;;;0.38;;0;1;1;0;;0.18;0.18;;47;25;209;305;4;1.7;;4.3;;;0.1;;0;;;;;;;;;;0.58;;;;0;0;;0.03;0.01;0.32;0.01;0.20;0;;0.54;0.01;0.05;;0.48;0;;0.05;0.04;0.04;;0;0.01;0.01;;;;0.01;0.01;;47;;999;1296;1111;1803;1059;858;998;1162;2043;3374;1516;334;613;912;923;;855;774
Houby, rezavec šikmý (čaga sibiřská), sušená;;849;208;1.9;0.31;2.0;80.65;10.44;70.21;9.1;;6.3;;;;;;;;;;;;;;;;;;4;;;;;;;;;;0.01;;0;0;0;0;0;0;;;;;0.84;0;0;0;0;0;0;0.73;0;0.07;0;0.04;0;0;0.12;0;0;0;0.12;0;0;0.64;0.64;0.64;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Těstoviny (špagety), nevaječné, vařené v nesolené vodě;;455;107;3.5;0.6;0.1;23.5;22.6;0.9;72.8;0;0.1;;0.04;0;;0.2;;;0.01;;;;;;;0.05;0.05;;;4;21;10;7;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso kachní, krky;;538;128;18.8;3.0;5.9;0;0;0;74.3;;1.0;;;;;;;;;;;;;;;;;;91;;;;;;;;;;0.23;;0;0;0;0;0;0;;;;;1.83;0;0;0;0;0;0;0.04;0;1.44;0;0.35;0;0;3.17;0;0.26;0;2.89;0.02;0;0.59;0.55;0.55;0;0;0.04;0.04;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Štikozubec kapský (mořská štika, hejk), maso s kůží;;259;61;14.6;2.33;0.3;0;0;0;81.8;;1.4;;;;;;;;;;;;;;;;;;147;;;;;;;;;;0.37;;0;0;0;0;0;0;;;;;0.06;0;0;0;0;0;0;0.01;0;0.04;0;0.01;0;0;0.07;0;0.01;0;0.05;0.02;0;0.04;0.01;0;0;0.01;0.03;0;0.01;;0.02;0;0;0;;;;;;;;;;;;;;;;;;;;
Patizon;;66;16;0.4;0.1;0.1;4.2;2.5;1.6;94.7;;0.6;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;2.3;1.5;0.9;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Kapr obecný, maso bez kostí a kůže, smažené;;897;216;18.4;3.1;15.8;0;0;0;63.7;0;1.1;;0.04;0.07;;2.9;;;0.09;;;;;;;0.82;0.82;;42;22;200;285;18;0.5;;0.29;;;0.1;;0;;;;;;;;;;2.90;;;;;;;0.10;;1.96;;0.82;0.02;;6.45;0.01;0.88;;5.28;0.28;;1.13;0.77;0.75;0.02;;0.36;0.16;0.08;0.04;0.08;;;;;;;;;;;;;;;;;;;;;;;
Maso krůtí, krky;;596;143;18.1;2.9;7.8;0;0;0;73.2;;0.9;;;;;;;;;;;;;;;;;;84;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;2.44;0;0;0;0.01;0.15;0;0.14;0;1.58;0;0.51;0.05;0;2.86;0;0.21;0;2.62;0.03;0;2.08;1.92;1.92;0;0;0.16;0.16;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso vepřové, bok bez kosti a kůže, syrový;;1350;325;14.5;2.3;29.7;0;0;0;55.1;0;0.8;;0.41;0.10;;5.9;;0.73;0.32;;0;18;18;0;;0.58;0.58;;59;18;155;244;5;0.5;;1.64;;;0.1;;0;;;;;;;;;;7.73;;;;0.03;0.03;;0.40;;7.10;0.11;3.8;0.07;;12.77;;0.77;;11.6;0.28;;2.88;2.75;2.67;;0.08;0.13;0.13;;;;0.08;0.08;;57;;835;874;694;1122;619;560;667;760;1268;1950;898;285;368;502;376;;575;699
Maso jehněčí, plec;;474;113;19.8;3.16;3.7;0;0;0;74.4;;1.0;;;;;;;;;;;;;;;;;;81;;;;;;;;;;0.20;;0;0;0;0;0;0;;;;;1.37;0;0;0;0;0;0;0.05;0;0.58;0;0.74;0;0;1.78;0;0.04;0;1.74;0;0;0.12;0.10;0.10;0;0;0.02;0.02;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tuřín (brukev řepka);;63;15;0.8;0.1;0.1;3.6;2.0;1.6;94.9;;0.7;;;;;;;;;;;;;;;;;;4;;;;;;;;;;0.01;;1.7;0.9;0.8;0;0;0.1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso husí, stehno, bez kůže;;1131;273;15.8;2.53;23.3;0;0;0;59.2;;0.8;;;;;;;;;;;;;;;;;;55;;;;;;;;;;0.14;;0;0;0;0;0;0;;;;;6.83;0;0;0;0;0;0;0.13;0;5.18;0;1.52;0;0;12.93;0;0.94;0;11.65;0;0;2.14;2.05;2.05;0;0;0.08;0.08;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso hovězí, roštěnec bez kosti, syrový (separovatelný tuk 1 %);;546;130;21.1;3.4;5.1;0;0;0;72.6;0;1.0;;0.03;0.10;;6.4;;;0.40;;0;5;5;0;;0.24;0.24;;54;23;187;281;4;1.9;;4.3;;;0.1;;0;;;;;;;;;;2.32;;;;0;0;;0.16;0.02;1.38;0.05;0.70;0.01;;2.10;0.04;0.23;;1.83;0.01;;0.12;0.09;0.09;;0;0.02;0.02;;;;0.01;0.02;;45;;1027;1237;1006;1663;937;825;952;1623;1882;3052;1330;304;552;839;883;;836;885
Koření, libeček, sušený;;1158;278;23.2;3.71;4.6;51.61;19.94;31.67;6.5;;14.1;;;;;;;;;;;;;;;;;;23;;;;;;;;;;0.06;;4.46;2.33;2.13;0;0;0;;;;;0.44;0;0;0;0;0;0;0;0;0.37;0;0.03;0;0.04;0.09;0;0.05;0;0.03;0;0;2.62;0.70;0.70;0;0;1.93;1.93;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Mouka konopná celozrnná;;1409;337;48.6;7.77;9.5;23.9;4.4;19.5;8.6;;9.4;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;4.4;0.3;0.1;0;0;4.0;;;;;0.54;0;0;0;0;0;0;0;0;0.39;0;0.15;0;0;0.79;0;0;0;0.79;0;0;4.59;3.54;3.54;0;0;1.05;1.05;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Olej rýžový;;3693;898;0;0;99.8;0;0;0;0.1;;0;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0;;0;0;0;0;0;0;;;;;23.15;0;0;0;0;0;0;0.38;0;18.86;0;2.18;0.93;0.31;40.71;0;0.16;0;40.05;0.50;0;31.31;30.33;30.33;0;0;0.98;0.98;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Smaženka, trh;;997;238;7.5;1.2;13.2;22.4;;;55.1;0;1.8;;0.09;0.17;;0.6;;;0.14;;0;54;40;170;;3.17;3.17;;501;18;131;139;37;1.0;0.04;0.80;;23.6;1.3;;;;;;;;;;;;1.39;0;0;0;0;0;;0;;0.96;;0.31;0.07;0.05;7.76;0;0.07;;7.33;0.19;0.17;3.16;2.39;2.39;;;0.77;0.77;;;;;;;;;;;;;;;;;;;;;;;;;;
Losos atlantický, filet, s kůží;;933;225;18.1;2.9;16.9;0;0;0;62.6;0;1.2;;0.21;0.16;;;;;;;1.0;41;41;0;;3.55;3.55;;69;27;240;363;9;0.3;;;;;0.17;;0;0;0;0;0;0;0;;;;0.91;0;0;0;0;0;0;0.15;0;0.58;0;0.16;0.02;0;3.00;0;0.19;0;2.57;0.24;0;1.25;0.74;0.73;0;0.01;0.51;0.25;0.13;;0.13;0;0;0;55;;;;;;;;;;;;;;;;;;;
Bez černý, plody;;301;73;3.3;0.52;2.8;13.5;3.7;9.8;79.1;;1.3;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;3.5;1.7;1.8;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Kachna domácí, maso, s kůží;;1650;400;11.5;1.8;39.3;0;0;0;48.5;0;0.7;;0.20;0.21;;;;;;;0;51;51;0;;0;0;;86;22;139;297;11;1.2;;;;;0.2;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.69;4.69;;;;;;;;;;;76;;;;;;;;;;;;;;;;;;;
Karagenan;;508;126;0.6;0.1;0.6;58.8;0.8;58.0;7.4;;32.8;;;;;;;;;;;;;;;;;;593;;;;;;;;;;1.48;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Mango;;292;69;0.6;0.1;0.5;16.4;14.7;1.7;82.0;0;0.5;;0.05;0.05;;;;;;;38;57;0;682;;1.12;1.12;;5;18;13;190;12;0.4;;;;;0;;12.5;2.6;0.9;;;9.0;;;;;0.10;;;;;0;;0.01;;0.09;;0;;;0.19;;0.10;;0.09;;;0.10;0.03;0.03;;;0.07;0.07;;;;;;;0;;;;;;;;;;;;;;;;;;;
Lecitin slunečnicový;;2562;618;7.5;1.2;52.7;28.6;28.6;0;1.7;;9.6;;;;;;;;;;;;;;;;;;4;;;;;;;;;;0.01;;0;0;0;0;0;0;;;;;20.20;0;0;0;0;0;0;0;0;15.76;0;4.44;0;0;12.30;0;0;0;12.30;0;0;16.02;16.02;16.02;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso vepřové, výrobní, V7;;2782;676;5.0;0.8;72.8;0;0;0;21.2;;0.3;;;;;;;;;;;;;;;;;;25;;;;;;;;;;0.06;;0;0;0;0;0;0;;;;;29.40;0;0;0;0.04;0.11;0;1.02;0;17.31;0;10.89;0.18;0;27.77;0;1.40;0;25.76;0.61;0;8.49;7.95;7.95;0;0;0.54;0.54;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tlamoun nilský (Tilápie);;269;64;14.2;2.28;0.8;0;0;0;83.6;;1.5;;;;;;;;;;;;;;;;;;488;;;;;;;;;;1.22;;0;0;0;0;0;0;;;;;0.19;0;0;0;0;0;0;0.02;0;0.14;0;0.03;0;0;0.25;0;0.03;0;0.21;0.01;0;0.07;0.06;0.06;0;0;0.01;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Kiwi, lyofilizované;;1498;356;4.6;0.74;4.8;83.7;63.7;20.0;2.9;;4.0;;;;;;;;;;;;;;;;;;6;;;;;;;;;;0.02;;49.0;22.9;23.8;0;0;2.3;;;;;0.36;0;0;0;0;0;0;0;0;0.26;0;0.11;0;0;0.59;0;0;0;0.57;0.02;0;2.80;0.61;0.61;0;0;2.19;2.18;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Pšenice ozimá;;1470;349;13.4;2.3;2.9;74.6;59.9;14.7;7.3;0;1.8;;0.25;0.10;;4.7;;0.64;0.29;;;;;;;0.78;0.78;;2;120;412;384;56;3.5;0.51;3.60;;;0;;;;;;;;;;;;0.35;;;;;;;0.01;;0.32;;0.02;0.00;0.00;0.39;0.00;0.01;;0.37;0.01;0.00;1.34;1.21;1.21;;;0.13;0.13;;;;;;;;;429;363;425;734;461;498;361;289;684;3467;580;361;165;675;299;;329;984
Tuk rostlinný roztíratelný (72 %), Hera, UNILEVER;;2670;648;0;;72.0;0.2;0.2;0;27.6;0;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;0.23;;0.1;;;;;;;;;;33.35;;;;;;;;;;;;;;27.21;;;;;;;11.14;;;;;;;;;;0.30;;;1;;;;;;;;;;;;;;;;;;;
Mouka, pšeničná, celozrnná, T 1700, obsah popela max. 1,9 % v suš.;;1470;346;13.5;2.2;2.4;71.2;64.2;7.0;11.5;0;1.4;;0.42;0.11;;5.0;;0.77;0.35;;0;1;0;6;;1.34;1.34;;1;98;330;295;37;3.7;;2.7;;;0;;1.4;0.1;0.3;0;0.4;0.6;;;;;0.27;0;0;0;0;0;0;0;0;0.25;0;0.02;0;0;0.26;0;0;0;0.25;0.01;0;1.05;0.98;0.98;;;0.07;0.07;;;;0;0;0;0;;512;448;542;826;428;572;370;519;641;3639;617;408;158;580;370;;283;1208
Maso jehněčí, hrudí;;706;169;20.2;3.23;9.8;0;0;0;70.3;;1.0;;;;;;;;;;;;;;;;;;111;;;;;;;;;;0.28;;0;0;0;0;0;0;;;;;4.57;0;0;0;0;0.03;0;0.46;0;2.12;0;1.85;0.12;0;2.47;0;0.16;0;2.27;0.04;0;0.53;0.30;0.30;0;0;0.23;0.23;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Semena, ředkvičková;;2118;512;29.2;4.67;38.5;23.29;1.21;22.08;5.1;;4.3;;;;;;;;;;;;;;;;;;6;;;;;;;;;;0.01;;3.53;0.13;1.55;0;0;1.85;;;;;3.40;0;0;0;0;0;0;0;0;1.85;0;0.67;0.45;0.43;25.25;0;0;0;8.71;3.52;13.02;6.96;3.75;3.75;0;0;3.21;3.21;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Čočka;;1372;325;23.6;3.8;0.7;63.5;48.5;15.0;9.8;0;2.4;;0.35;0.15;;2.3;;;0.43;;2.5;2;0;23;;0;0;;5;73;332;937;76;5.0;0.66;3.20;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.40;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
